user_id,name,age,gender,email,phone,location,preferences,dietary_restrictions,favorite_price_range,past_interactions
4fe3a0fe-adf9-4ec6-9ca8-0f80aa80f5bd,Cody Jordan,64,Non-Binary,dmccoy@example.net,877.975.3885x0122,Minneapolis,Vegan,Gluten-Free,$$$,"[{'restaurant_name': 'Mullins, Little and Mckinney Steakhouse', 'rating_given': 2.8, 'review': 'Woman industry bit beat lot once speak time life why begin could which.', 'date': datetime.date(2024, 6, 25)}, {'restaurant_name': 'Keller-Tate Diner', 'rating_given': 4.4, 'review': 'Then side option manager however real put onto friend few leader miss.', 'date': datetime.date(2024, 11, 28)}, {'restaurant_name': 'Stevens-Wagner Diner', 'rating_given': 2.0, 'review': 'Itself we paper late analysis soon amount exist personal yeah.', 'date': datetime.date(2024, 11, 15)}, {'restaurant_name': 'Jordan Inc Bistro', 'rating_given': 1.9, 'review': 'Beyond increase pay not actually tree wind way use now something task.', 'date': datetime.date(2024, 8, 13)}]"
b2799885-8548-4150-9639-675b7bac5b09,Sandra Banks,62,Non-Binary,vasquezcharles@example.com,001-950-497-4406,Minneapolis,"BBQ, Italian, Chinese","Vegetarian, Vegan",$$$$,"[{'restaurant_name': 'Nunez, Wilson and Martin Eatery', 'rating_given': 4.3, 'review': 'Throughout leader black center peace among up stock site star nature learn.', 'date': datetime.date(2024, 12, 16)}, {'restaurant_name': 'Rollins and Sons Cafe', 'rating_given': 1.7, 'review': 'Ask sense fall usually usually white main bill follow military order.', 'date': datetime.date(2024, 5, 5)}, {'restaurant_name': 'Ford-Stanley Steakhouse', 'rating_given': 3.9, 'review': 'Will some reach parent gas sister hair.', 'date': datetime.date(2024, 7, 28)}, {'restaurant_name': 'Pitts Group Eatery', 'rating_given': 4.5, 'review': 'Man like beautiful reduce since article so move push beautiful.', 'date': datetime.date(2024, 7, 10)}]"
36d2bde6-e39b-4aeb-a002-fd96196f2c5d,Christopher Wells,40,Non-Binary,fostertheresa@example.org,+1-625-453-6584,Minneapolis,"Italian, Vegan",Halal,$,"[{'restaurant_name': 'Hill Inc Bistro', 'rating_given': 3.5, 'review': 'Key conference ahead whether still plan that.', 'date': datetime.date(2024, 12, 14)}, {'restaurant_name': 'Hansen LLC Eatery', 'rating_given': 1.1, 'review': 'Scientist say continue think director kid share ability hotel enjoy simply.', 'date': datetime.date(2024, 6, 20)}, {'restaurant_name': 'Dean-Perez Grill', 'rating_given': 4.6, 'review': 'So argue space trouble one word.', 'date': datetime.date(2024, 12, 16)}, {'restaurant_name': 'Campbell-Cordova Eatery', 'rating_given': 2.0, 'review': 'Expect loss among some establish bank seven her phone image century need.', 'date': datetime.date(2024, 5, 23)}, {'restaurant_name': 'Martinez and Sons Eatery', 'rating_given': 3.0, 'review': 'Republican threat meet factor wall continue system gas pattern.', 'date': datetime.date(2024, 9, 18)}]"
7bf08d09-c5b8-4e04-b930-c00ed3f9fda6,Justin Sellers,49,Female,jacobgreen@example.com,313-888-1807x4988,Minneapolis,"BBQ, Vegan, French","Gluten-Free, Vegan",$$,"[{'restaurant_name': 'Wallace-Ellis Diner', 'rating_given': 1.4, 'review': 'Station chance never small all lead each relationship once claim same speech.', 'date': datetime.date(2024, 7, 27)}, {'restaurant_name': 'Fleming PLC Steakhouse', 'rating_given': 3.3, 'review': 'Decide week small civil price effect standard huge western arrive attack again customer.', 'date': datetime.date(2024, 7, 5)}, {'restaurant_name': 'Hogan Inc Diner', 'rating_given': 2.9, 'review': 'Method improve site store sea program sort movement election field enjoy operation possible.', 'date': datetime.date(2025, 1, 22)}]"
637e5966-e283-4208-b37d-cd07c698d56e,Alec Simmons,31,Female,johnsonann@example.net,541-965-5918,Minneapolis,Mexican,Gluten-Free,$$$,"[{'restaurant_name': 'Walker-Johnson Cafe', 'rating_given': 3.8, 'review': 'Up necessary election such real direction.', 'date': datetime.date(2024, 5, 31)}]"
47ea78fa-2f15-411d-89fc-4f33a62a693a,Suzanne Nielsen,28,Female,snowmichael@example.net,(382)677-2820,Minneapolis,Seafood,"Vegan, Halal",$$,"[{'restaurant_name': 'Bryant-Foster Eatery', 'rating_given': 3.3, 'review': 'Several right like case story blood charge fish perhaps.', 'date': datetime.date(2024, 12, 10)}, {'restaurant_name': 'Brooks, King and Bishop Grill', 'rating_given': 2.9, 'review': 'Effort nature table natural stay seven staff trip baby.', 'date': datetime.date(2024, 5, 7)}]"
5506f0c5-83ef-463c-8bbb-a1dab783ff4c,Nicole Duran,51,Female,barnettcasey@example.net,(975)529-4698,Minneapolis,"Vegan, French, Italian",Vegetarian,$$$$,"[{'restaurant_name': 'Ballard-Garcia Bistro', 'rating_given': 1.6, 'review': 'Degree chance at computer check about remember pick.', 'date': datetime.date(2024, 4, 5)}, {'restaurant_name': 'Porter-Perry Steakhouse', 'rating_given': 1.4, 'review': 'Summer term leg final gun thank throw collection fish on pick.', 'date': datetime.date(2025, 2, 19)}]"
1320d026-f42a-484c-b308-65a7f38057e6,Amanda Smith,42,Male,fwhite@example.org,+1-430-324-9654x7858,Minneapolis,"Vegan, Chinese","Gluten-Free, Vegetarian",$$,"[{'restaurant_name': 'Carey, Gutierrez and Taylor Eatery', 'rating_given': 4.7, 'review': 'Notice can simple serve science across.', 'date': datetime.date(2025, 1, 4)}, {'restaurant_name': 'Thomas Ltd Steakhouse', 'rating_given': 3.3, 'review': 'Five camera head change to play environmental voice move.', 'date': datetime.date(2024, 11, 2)}, {'restaurant_name': 'Haynes-Huang Steakhouse', 'rating_given': 3.0, 'review': 'Actually build another man offer probably trip soon development dark resource table yourself.', 'date': datetime.date(2024, 4, 19)}]"
ba9cde13-083e-498a-aa36-3e92f81a4f69,Timothy Ayers,54,Female,fergusonjames@example.com,681.710.2309,Minneapolis,Italian,"Gluten-Free, Keto",$$$,"[{'restaurant_name': 'Moreno-Sanchez Bistro', 'rating_given': 3.6, 'review': 'Bar see term mention across become yes simple song production apply.', 'date': datetime.date(2024, 6, 16)}, {'restaurant_name': 'Hudson, Green and Page Bistro', 'rating_given': 1.8, 'review': 'Mean glass specific explain phone idea leader government yet.', 'date': datetime.date(2024, 5, 2)}, {'restaurant_name': 'Rios-Davis Steakhouse', 'rating_given': 1.1, 'review': 'Hour issue begin room himself candidate own.', 'date': datetime.date(2024, 4, 4)}, {'restaurant_name': 'Arias Group Diner', 'rating_given': 2.4, 'review': 'Answer senior send certain own issue down case.', 'date': datetime.date(2024, 3, 25)}]"
3d3372f1-a5c1-4a3a-9e5a-3ead2c5fe00d,Eric Lloyd,62,Non-Binary,amberhill@example.com,705.352.0431,Minneapolis,"Italian, Thai, Mexican","None, Halal",$,"[{'restaurant_name': 'Sanders-White Eatery', 'rating_given': 4.3, 'review': 'Campaign respond question team space pick knowledge professor citizen week.', 'date': datetime.date(2024, 11, 21)}]"
